name,role,broadband_access_start,broadband_access_today,HBCU_funding_start,HBCU_funding_end,public_transport_funding_start,public_transport_funding_today,road_pred,road_today,emissions_transport_start,emissions_transport_today
Thom Tillis,"State Senator","57","67.5","50000000","307000000","911000000","176000000","7200000000","5000000000",,
Graig Meyer,"NC House of Representative","57","67.5","50000000","307000000",,,,,"144.22","159.48"
